"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 10 15:32:44 CST 2020","Mon Aug 10 15:32:44 CST 2020","135","cases","test_login","","","","test_login01","
    正确登录
    :return:
    "
"passed","Mon Aug 10 15:32:43 CST 2020","Mon Aug 10 15:32:43 CST 2020","51","cases","test_geteventlist","","","","test_geteventlist","
    查询所有活动
    :return:
    "
"passed","Mon Aug 10 15:32:44 CST 2020","Mon Aug 10 15:32:44 CST 2020","44","cases","test_order","","","","test_order","
    预定活动
    :return:
    "
"passed","Mon Aug 10 15:32:44 CST 2020","Mon Aug 10 15:32:44 CST 2020","27","cases","test_login","","","","test_login02","
    密码错误
    :return:
    "
